Data,dia,mes,mes_nome,ano,semana_do_ano,ano_mes,ano_semana,mes_ano
2020-01-01,1,1,Jan,2020,1,202001,202001,jan/2020
2020-01-02,2,1,Jan,2020,1,202001,202001,jan/2020
2020-01-03,3,1,Jan,2020,1,202001,202001,jan/2020
2020-01-04,4,1,Jan,2020,1,202001,202001,jan/2020
2020-01-05,5,1,Jan,2020,1,202001,202001,jan/2020
2020-01-06,6,1,Jan,2020,2,202001,202002,jan/2020
2020-01-07,7,1,Jan,2020,2,202001,202002,jan/2020
2020-01-08,8,1,Jan,2020,2,202001,202002,jan/2020
2020-01-09,9,1,Jan,2020,2,202001,202002,jan/2020
2020-01-10,10,1,Jan,2020,2,202001,202002,jan/2020
2020-01-11,11,1,Jan,2020,2,202001,202002,jan/2020
2020-01-12,12,1,Jan,2020,2,202001,202002,jan/2020
2020-01-13,13,1,Jan,2020,3,202001,202003,jan/2020
2020-01-14,14,1,Jan,2020,3,202001,202003,jan/2020
2020-01-15,15,1,Jan,2020,3,202001,202003,jan/2020
2020-01-16,16,1,Jan,2020,3,202001,202003,jan/2020
2020-01-17,17,1,Jan,2020,3,202001,202003,jan/2020
2020-01-18,18,1,Jan,2020,3,202001,202003,jan/2020
2020-01-19,19,1,Jan,2020,3,202001,202003,jan/2020
2020-01-20,20,1,Jan,2020,4,202001,202004,jan/2020
2020-01-21,21,1,Jan,2020,4,202001,202004,jan/2020
2020-01-22,22,1,Jan,2020,4,202001,202004,jan/2020
2020-01-23,23,1,Jan,2020,4,202001,202004,jan/2020
2020-01-24,24,1,Jan,2020,4,202001,202004,jan/2020
2020-01-25,25,1,Jan,2020,4,202001,202004,jan/2020
2020-01-26,26,1,Jan,2020,4,202001,202004,jan/2020
2020-01-27,27,1,Jan,2020,5,202001,202005,jan/2020
2020-01-28,28,1,Jan,2020,5,202001,202005,jan/2020
2020-01-29,29,1,Jan,2020,5,202001,202005,jan/2020
2020-01-30,30,1,Jan,2020,5,202001,202005,jan/2020
2020-01-31,31,1,Jan,2020,5,202001,202005,jan/2020
2020-02-01,1,2,Feb,2020,5,202002,202005,feb/2020
2020-02-02,2,2,Feb,2020,5,202002,202005,feb/2020
2020-02-03,3,2,Feb,2020,6,202002,202006,feb/2020
2020-02-04,4,2,Feb,2020,6,202002,202006,feb/2020
2020-02-05,5,2,Feb,2020,6,202002,202006,feb/2020
2020-02-06,6,2,Feb,2020,6,202002,202006,feb/2020
2020-02-07,7,2,Feb,2020,6,202002,202006,feb/2020
2020-02-08,8,2,Feb,2020,6,202002,202006,feb/2020
2020-02-09,9,2,Feb,2020,6,202002,202006,feb/2020
2020-02-10,10,2,Feb,2020,7,202002,202007,feb/2020
2020-02-11,11,2,Feb,2020,7,202002,202007,feb/2020
2020-02-12,12,2,Feb,2020,7,202002,202007,feb/2020
2020-02-13,13,2,Feb,2020,7,202002,202007,feb/2020
2020-02-14,14,2,Feb,2020,7,202002,202007,feb/2020
2020-02-15,15,2,Feb,2020,7,202002,202007,feb/2020
2020-02-16,16,2,Feb,2020,7,202002,202007,feb/2020
2020-02-17,17,2,Feb,2020,8,202002,202008,feb/2020
2020-02-18,18,2,Feb,2020,8,202002,202008,feb/2020
2020-02-19,19,2,Feb,2020,8,202002,202008,feb/2020
2020-02-20,20,2,Feb,2020,8,202002,202008,feb/2020
2020-02-21,21,2,Feb,2020,8,202002,202008,feb/2020
2020-02-22,22,2,Feb,2020,8,202002,202008,feb/2020
2020-02-23,23,2,Feb,2020,8,202002,202008,feb/2020
2020-02-24,24,2,Feb,2020,9,202002,202009,feb/2020
2020-02-25,25,2,Feb,2020,9,202002,202009,feb/2020
2020-02-26,26,2,Feb,2020,9,202002,202009,feb/2020
2020-02-27,27,2,Feb,2020,9,202002,202009,feb/2020
2020-02-28,28,2,Feb,2020,9,202002,202009,feb/2020
2020-02-29,29,2,Feb,2020,9,202002,202009,feb/2020
2020-03-01,1,3,Mar,2020,9,202003,202009,mar/2020
2020-03-02,2,3,Mar,2020,10,202003,202010,mar/2020
2020-03-03,3,3,Mar,2020,10,202003,202010,mar/2020
2020-03-04,4,3,Mar,2020,10,202003,202010,mar/2020
2020-03-05,5,3,Mar,2020,10,202003,202010,mar/2020
2020-03-06,6,3,Mar,2020,10,202003,202010,mar/2020
2020-03-07,7,3,Mar,2020,10,202003,202010,mar/2020
2020-03-08,8,3,Mar,2020,10,202003,202010,mar/2020
2020-03-09,9,3,Mar,2020,11,202003,202011,mar/2020
2020-03-10,10,3,Mar,2020,11,202003,202011,mar/2020
2020-03-11,11,3,Mar,2020,11,202003,202011,mar/2020
2020-03-12,12,3,Mar,2020,11,202003,202011,mar/2020
2020-03-13,13,3,Mar,2020,11,202003,202011,mar/2020
2020-03-14,14,3,Mar,2020,11,202003,202011,mar/2020
2020-03-15,15,3,Mar,2020,11,202003,202011,mar/2020
2020-03-16,16,3,Mar,2020,12,202003,202012,mar/2020
2020-03-17,17,3,Mar,2020,12,202003,202012,mar/2020
2020-03-18,18,3,Mar,2020,12,202003,202012,mar/2020
2020-03-19,19,3,Mar,2020,12,202003,202012,mar/2020
2020-03-20,20,3,Mar,2020,12,202003,202012,mar/2020
2020-03-21,21,3,Mar,2020,12,202003,202012,mar/2020
2020-03-22,22,3,Mar,2020,12,202003,202012,mar/2020
2020-03-23,23,3,Mar,2020,13,202003,202013,mar/2020
2020-03-24,24,3,Mar,2020,13,202003,202013,mar/2020
2020-03-25,25,3,Mar,2020,13,202003,202013,mar/2020
2020-03-26,26,3,Mar,2020,13,202003,202013,mar/2020
2020-03-27,27,3,Mar,2020,13,202003,202013,mar/2020
2020-03-28,28,3,Mar,2020,13,202003,202013,mar/2020
2020-03-29,29,3,Mar,2020,13,202003,202013,mar/2020
2020-03-30,30,3,Mar,2020,14,202003,202014,mar/2020
2020-03-31,31,3,Mar,2020,14,202003,202014,mar/2020
2020-04-01,1,4,Apr,2020,14,202004,202014,apr/2020
2020-04-02,2,4,Apr,2020,14,202004,202014,apr/2020
2020-04-03,3,4,Apr,2020,14,202004,202014,apr/2020
2020-04-04,4,4,Apr,2020,14,202004,202014,apr/2020
2020-04-05,5,4,Apr,2020,14,202004,202014,apr/2020
2020-04-06,6,4,Apr,2020,15,202004,202015,apr/2020
2020-04-07,7,4,Apr,2020,15,202004,202015,apr/2020
2020-04-08,8,4,Apr,2020,15,202004,202015,apr/2020
2020-04-09,9,4,Apr,2020,15,202004,202015,apr/2020
2020-04-10,10,4,Apr,2020,15,202004,202015,apr/2020
2020-04-11,11,4,Apr,2020,15,202004,202015,apr/2020
2020-04-12,12,4,Apr,2020,15,202004,202015,apr/2020
2020-04-13,13,4,Apr,2020,16,202004,202016,apr/2020
2020-04-14,14,4,Apr,2020,16,202004,202016,apr/2020
2020-04-15,15,4,Apr,2020,16,202004,202016,apr/2020
2020-04-16,16,4,Apr,2020,16,202004,202016,apr/2020
2020-04-17,17,4,Apr,2020,16,202004,202016,apr/2020
2020-04-18,18,4,Apr,2020,16,202004,202016,apr/2020
2020-04-19,19,4,Apr,2020,16,202004,202016,apr/2020
2020-04-20,20,4,Apr,2020,17,202004,202017,apr/2020
2020-04-21,21,4,Apr,2020,17,202004,202017,apr/2020
2020-04-22,22,4,Apr,2020,17,202004,202017,apr/2020
2020-04-23,23,4,Apr,2020,17,202004,202017,apr/2020
2020-04-24,24,4,Apr,2020,17,202004,202017,apr/2020
2020-04-25,25,4,Apr,2020,17,202004,202017,apr/2020
2020-04-26,26,4,Apr,2020,17,202004,202017,apr/2020
2020-04-27,27,4,Apr,2020,18,202004,202018,apr/2020
2020-04-28,28,4,Apr,2020,18,202004,202018,apr/2020
2020-04-29,29,4,Apr,2020,18,202004,202018,apr/2020
2020-04-30,30,4,Apr,2020,18,202004,202018,apr/2020
2020-05-01,1,5,May,2020,18,202005,202018,may/2020
2020-05-02,2,5,May,2020,18,202005,202018,may/2020
2020-05-03,3,5,May,2020,18,202005,202018,may/2020
2020-05-04,4,5,May,2020,19,202005,202019,may/2020
2020-05-05,5,5,May,2020,19,202005,202019,may/2020
2020-05-06,6,5,May,2020,19,202005,202019,may/2020
2020-05-07,7,5,May,2020,19,202005,202019,may/2020
2020-05-08,8,5,May,2020,19,202005,202019,may/2020
2020-05-09,9,5,May,2020,19,202005,202019,may/2020
2020-05-10,10,5,May,2020,19,202005,202019,may/2020
2020-05-11,11,5,May,2020,20,202005,202020,may/2020
2020-05-12,12,5,May,2020,20,202005,202020,may/2020
2020-05-13,13,5,May,2020,20,202005,202020,may/2020
2020-05-14,14,5,May,2020,20,202005,202020,may/2020
2020-05-15,15,5,May,2020,20,202005,202020,may/2020
2020-05-16,16,5,May,2020,20,202005,202020,may/2020
2020-05-17,17,5,May,2020,20,202005,202020,may/2020
2020-05-18,18,5,May,2020,21,202005,202021,may/2020
2020-05-19,19,5,May,2020,21,202005,202021,may/2020
2020-05-20,20,5,May,2020,21,202005,202021,may/2020
2020-05-21,21,5,May,2020,21,202005,202021,may/2020
2020-05-22,22,5,May,2020,21,202005,202021,may/2020
2020-05-23,23,5,May,2020,21,202005,202021,may/2020
2020-05-24,24,5,May,2020,21,202005,202021,may/2020
2020-05-25,25,5,May,2020,22,202005,202022,may/2020
2020-05-26,26,5,May,2020,22,202005,202022,may/2020
2020-05-27,27,5,May,2020,22,202005,202022,may/2020
2020-05-28,28,5,May,2020,22,202005,202022,may/2020
2020-05-29,29,5,May,2020,22,202005,202022,may/2020
2020-05-30,30,5,May,2020,22,202005,202022,may/2020
2020-05-31,31,5,May,2020,22,202005,202022,may/2020
2020-06-01,1,6,Jun,2020,23,202006,202023,jun/2020
2020-06-02,2,6,Jun,2020,23,202006,202023,jun/2020
2020-06-03,3,6,Jun,2020,23,202006,202023,jun/2020
2020-06-04,4,6,Jun,2020,23,202006,202023,jun/2020
2020-06-05,5,6,Jun,2020,23,202006,202023,jun/2020
2020-06-06,6,6,Jun,2020,23,202006,202023,jun/2020
2020-06-07,7,6,Jun,2020,23,202006,202023,jun/2020
2020-06-08,8,6,Jun,2020,24,202006,202024,jun/2020
2020-06-09,9,6,Jun,2020,24,202006,202024,jun/2020
2020-06-10,10,6,Jun,2020,24,202006,202024,jun/2020
2020-06-11,11,6,Jun,2020,24,202006,202024,jun/2020
2020-06-12,12,6,Jun,2020,24,202006,202024,jun/2020
2020-06-13,13,6,Jun,2020,24,202006,202024,jun/2020
2020-06-14,14,6,Jun,2020,24,202006,202024,jun/2020
2020-06-15,15,6,Jun,2020,25,202006,202025,jun/2020
2020-06-16,16,6,Jun,2020,25,202006,202025,jun/2020
