year_month,quantidade_autos,cumulative_tickets
202101,2,2
202101,57,59
202101,58,117
202101,17,134
202101,154,288
202101,113,401
202101,66,467
202101,3,470
202101,51,521
202101,307,828
202101,69,897
202101,1,898
202101,939,1837
202101,95,1932
202101,1,1933
202101,443,2376
202101,46,2422
202101,478,2900
202101,33,2933
202101,172,3105
202101,41,3146
202101,83,3229
202101,422,3651
202101,2,3653
202101,364,4017
202101,7,4024
202101,809,4833
202101,6330,11163
202101,5,11168
202101,1,11169
202101,3,11172
202101,10,11182
202101,2991,14173
202101,435,14608
202101,41,14649
202102,33,14682
202102,626,15308
202102,50,15358
202102,386,15744
202102,276,16020
202102,55,16075
202102,154,16229
202102,17,16246
202102,400,16646
202102,51,16697
202102,106,16803
202102,2,16805
202102,395,17200
202102,347,17547
202102,3275,20822
202102,339,21161
202102,61,21222
202102,32,21254
202102,6508,27762
202102,3,27765
202102,1,27766
202102,89,27855
202102,414,28269
202102,81,28350
202102,1,28351
202102,816,29167
202102,762,29929
202102,4,29933
202102,84,30017
202102,1,30018
202103,2,30020
202103,453,30473
202103,1,30474
202103,2,30476
202103,488,30964
202103,31,30995
202103,12,31007
202103,207,31214
202103,74,31288
202103,26,31314
202103,81,31395
202103,46,31441
202103,1,31442
202103,418,31860
202103,103,31963
202103,631,32594
202103,839,33433
202103,3,33436
202103,1,33437
202103,1074,34511
202103,125,34636
202103,1155,35791
202103,6943,42734
202103,78,42812
202103,33,42845
202103,406,43251
202103,3437,46688
202103,363,47051
202103,59,47110
202103,495,47605
202104,73,47678
202104,65,47743
202104,40,47783
202104,65,47848
202104,1013,48861
202104,119,48980
202104,469,49449
202104,353,49802
202104,1,49803
202104,750,50553
202104,6,50559
202104,248,50807
202104,930,51737
202104,100,51837
202104,531,52368
202104,4152,56520
202104,385,56905
202104,103,57008
202104,3512,60520
202104,37,60557
202104,35,60592
202104,98,60690
202104,792,61482
202104,535,62017
202104,164,62181
202104,7,62188
202104,1,62189
202104,3,62192
202104,1,62193
202104,2,62195
202104,233,62428
202104,37,62465
202104,238,62703
202104,66,62769
202104,1,62770
202104,347,63117
202104,1,63118
202104,1,63119
202104,948,64067
202104,78,64145
202105,562,64707
202105,9,64716
202105,98,64814
202105,99,64913
202105,3,64916
202105,135,65051
202105,798,65849
202105,215,66064
202105,1,66065
202105,107,66172
202105,3464,69636
202105,65,69701
202105,4,69705
202105,3,69708
202105,55,69763
202105,794,70557
202105,540,71097
202105,32,71129
202105,282,71411
202105,1,71412
202105,119,71531
202105,568,72099
202105,72,72171
202105,47,72218
202105,3110,75328
202105,445,75773
202105,365,76138
202105,45,76183
202105,1,76184
202105,384,76568
202105,5,76573
202105,1,76574
202105,91,76665
202105,1305,77970
202105,211,78181
202105,1339,79520
202105,1041,80561
202105,1,80562
202105,6,80568
202105,157,80725
202105,1170,81895
202105,19,81914
