year_month,cumulative_tickets,previous_period,diff_by_period,year,week
202101,162919,,,2021,01
202102,164993,162919.0,2074.0,2021,02
202103,172426,164993.0,7433.0,2021,03
202104,177554,172426.0,5128.0,2021,04
202105,181906,177554.0,4352.0,2021,05
202106,183248,181906.0,1342.0,2021,06
202107,187617,183248.0,4369.0,2021,07
202108,192208,187617.0,4591.0,2021,08
202109,193557,192208.0,1349.0,2021,09
202110,199275,193557.0,5718.0,2021,10
202111,204580,199275.0,5305.0,2021,11
202112,206961,204580.0,2381.0,2021,12
202201,259323,206961.0,52362.0,2022,01
202202,336005,259323.0,76682.0,2022,02
202203,338099,336005.0,2094.0,2022,03
202204,344183,338099.0,6084.0,2022,04
202205,352572,344183.0,8389.0,2022,05
202206,354390,352572.0,1818.0,2022,06
202207,358231,354390.0,3841.0,2022,07
202208,361875,358231.0,3644.0,2022,08
202209,363591,361875.0,1716.0,2022,09
202210,368522,363591.0,4931.0,2022,10
202211,373658,368522.0,5136.0,2022,11
202212,376515,373658.0,2857.0,2022,12
