,escopo_autuacao,uf,quantidade_autos
14,Evasão de Balança,RJ,93805
24,Excesso de Peso,RJ,61474
20,Excesso de Peso,MG,34307
12,Evasão de Balança,MG,27966
15,Evasão de Balança,SP,27607
18,Excesso de Peso,ES,19783
26,Excesso de Peso,SC,19771
11,Evasão de Balança,GO,16294
13,Evasão de Balança,MT,15359
25,Excesso de Peso,RS,14977
27,Excesso de Peso,SP,12596
23,Excesso de Peso,PR,9734
19,Excesso de Peso,GO,9305
22,Excesso de Peso,MT,8381
10,Evasão de Balança,ES,3968
21,Excesso de Peso,MS,513
6,CMT - Capacidade Máxima de Tração,RJ,247
2,CMT - Capacidade Máxima de Tração,MG,125
16,Excesso de Peso,BA,79
0,CMT - Capacidade Máxima de Tração,ES,72
8,CMT - Capacidade Máxima de Tração,SC,45
9,CMT - Capacidade Máxima de Tração,SP,32
1,CMT - Capacidade Máxima de Tração,GO,29
7,CMT - Capacidade Máxima de Tração,RS,24
5,CMT - Capacidade Máxima de Tração,PR,11
4,CMT - Capacidade Máxima de Tração,MT,7
3,CMT - Capacidade Máxima de Tração,MS,3
17,Excesso de Peso,DF,1
