year_month,quantidade_autos,cumulative_tickets,previous_tickets,diff_by_period
202101,2,2,0,2
202101,57,59,2,57
202101,58,117,59,58
202101,17,134,117,17
202101,154,288,134,154
202101,113,401,288,113
202101,66,467,401,66
202101,3,470,467,3
202101,51,521,470,51
202101,307,828,521,307
202101,69,897,828,69
202101,1,898,897,1
202101,939,1837,898,939
202101,95,1932,1837,95
202101,1,1933,1932,1
202101,443,2376,1933,443
202101,46,2422,2376,46
202101,478,2900,2422,478
202101,33,2933,2900,33
202101,172,3105,2933,172
202101,41,3146,3105,41
202101,83,3229,3146,83
202101,422,3651,3229,422
202101,2,3653,3651,2
202101,364,4017,3653,364
202101,7,4024,4017,7
202101,809,4833,4024,809
202101,6330,11163,4833,6330
202101,5,11168,11163,5
202101,1,11169,11168,1
202101,3,11172,11169,3
202101,10,11182,11172,10
202101,2991,14173,11182,2991
202101,435,14608,14173,435
202101,41,14649,14608,41
202102,33,14682,14649,33
202102,626,15308,14682,626
202102,50,15358,15308,50
202102,386,15744,15358,386
202102,276,16020,15744,276
202102,55,16075,16020,55
202102,154,16229,16075,154
202102,17,16246,16229,17
202102,400,16646,16246,400
202102,51,16697,16646,51
202102,106,16803,16697,106
202102,2,16805,16803,2
202102,395,17200,16805,395
202102,347,17547,17200,347
202102,3275,20822,17547,3275
202102,339,21161,20822,339
202102,61,21222,21161,61
202102,32,21254,21222,32
202102,6508,27762,21254,6508
202102,3,27765,27762,3
202102,1,27766,27765,1
202102,89,27855,27766,89
202102,414,28269,27855,414
202102,81,28350,28269,81
202102,1,28351,28350,1
202102,816,29167,28351,816
202102,762,29929,29167,762
202102,4,29933,29929,4
202102,84,30017,29933,84
202102,1,30018,30017,1
202103,2,30020,30018,2
202103,453,30473,30020,453
202103,1,30474,30473,1
202103,2,30476,30474,2
202103,488,30964,30476,488
202103,31,30995,30964,31
202103,12,31007,30995,12
202103,207,31214,31007,207
202103,74,31288,31214,74
202103,26,31314,31288,26
202103,81,31395,31314,81
202103,46,31441,31395,46
202103,1,31442,31441,1
202103,418,31860,31442,418
202103,103,31963,31860,103
202103,631,32594,31963,631
202103,839,33433,32594,839
202103,3,33436,33433,3
202103,1,33437,33436,1
202103,1074,34511,33437,1074
202103,125,34636,34511,125
202103,1155,35791,34636,1155
202103,6943,42734,35791,6943
202103,78,42812,42734,78
202103,33,42845,42812,33
202103,406,43251,42845,406
202103,3437,46688,43251,3437
202103,363,47051,46688,363
202103,59,47110,47051,59
202103,495,47605,47110,495
202104,73,47678,47605,73
202104,65,47743,47678,65
202104,40,47783,47743,40
202104,65,47848,47783,65
202104,1013,48861,47848,1013
202104,119,48980,48861,119
202104,469,49449,48980,469
202104,353,49802,49449,353
202104,1,49803,49802,1
202104,750,50553,49803,750
202104,6,50559,50553,6
202104,248,50807,50559,248
202104,930,51737,50807,930
202104,100,51837,51737,100
202104,531,52368,51837,531
202104,4152,56520,52368,4152
202104,385,56905,56520,385
202104,103,57008,56905,103
202104,3512,60520,57008,3512
202104,37,60557,60520,37
202104,35,60592,60557,35
202104,98,60690,60592,98
202104,792,61482,60690,792
202104,535,62017,61482,535
202104,164,62181,62017,164
202104,7,62188,62181,7
202104,1,62189,62188,1
202104,3,62192,62189,3
202104,1,62193,62192,1
202104,2,62195,62193,2
202104,233,62428,62195,233
202104,37,62465,62428,37
202104,238,62703,62465,238
202104,66,62769,62703,66
202104,1,62770,62769,1
202104,347,63117,62770,347
202104,1,63118,63117,1
202104,1,63119,63118,1
202104,948,64067,63119,948
202104,78,64145,64067,78
202105,562,64707,64145,562
202105,9,64716,64707,9
202105,98,64814,64716,98
202105,99,64913,64814,99
202105,3,64916,64913,3
202105,135,65051,64916,135
202105,798,65849,65051,798
202105,215,66064,65849,215
202105,1,66065,66064,1
202105,107,66172,66065,107
202105,3464,69636,66172,3464
202105,65,69701,69636,65
202105,4,69705,69701,4
202105,3,69708,69705,3
202105,55,69763,69708,55
202105,794,70557,69763,794
202105,540,71097,70557,540
202105,32,71129,71097,32
202105,282,71411,71129,282
202105,1,71412,71411,1
202105,119,71531,71412,119
202105,568,72099,71531,568
202105,72,72171,72099,72
202105,47,72218,72171,47
202105,3110,75328,72218,3110
202105,445,75773,75328,445
202105,365,76138,75773,365
202105,45,76183,76138,45
202105,1,76184,76183,1
202105,384,76568,76184,384
202105,5,76573,76568,5
202105,1,76574,76573,1
202105,91,76665,76574,91
202105,1305,77970,76665,1305
202105,211,78181,77970,211
202105,1339,79520,78181,1339
202105,1041,80561,79520,1041
202105,1,80562,80561,1
202105,6,80568,80562,6
202105,157,80725,80568,157
202105,1170,81895,80725,1170
202105,19,81914,81895,19
202106,4073,85987,81914,4073
202106,5,85992,85987,5
202106,3,85995,85992,3
202106,2,85997,85995,2
202106,14,86011,85997,14
202106,2,86013,86011,2
202106,115,86128,86013,115
202106,353,86481,86128,353
202106,92,86573,86481,92
202106,5,86578,86573,5
202106,84,86662,86578,84
202106,1,86663,86662,1
202106,2,86665,86663,2
202106,3,86668,86665,3
202106,165,86833,86668,165
202106,653,87486,86833,653
202106,2117,89603,87486,2117
202106,128,89731,89603,128
202106,4,89735,89731,4
202106,135,89870,89735,135
202106,11,89881,89870,11
202106,22,89903,89881,22
202106,444,90347,89903,444
202106,24,90371,90347,24
202106,781,91152,90371,781
202106,50,91202,91152,50
202106,442,91644,91202,442
202106,125,91769,91644,125
202106,52,91821,91769,52
202106,189,92010,91821,189
202106,256,92266,92010,256
202106,593,92859,92266,593
202106,804,93663,92859,804
202106,82,93745,93663,82
202106,138,93883,93745,138
202106,536,94419,93883,536
202106,1744,96163,94419,1744
202106,702,96865,96163,702
202106,415,97280,96865,415
202106,962,98242,97280,962
202106,174,98416,98242,174
202107,2,98418,98416,2
202107,14,98432,98418,14
202107,161,98593,98432,161
202107,425,99018,98593,425
202107,2077,101095,99018,2077
202107,108,101203,101095,108
202107,561,101764,101203,561
202107,223,101987,101764,223
202107,4,101991,101987,4
202107,254,102245,101991,254
202107,317,102562,102245,317
202107,112,102674,102562,112
202107,832,103506,102674,832
202107,4,103510,103506,4
202107,1,103511,103510,1
202107,798,104309,103511,798
202107,63,104372,104309,63
202107,328,104700,104372,328
202107,56,104756,104700,56
202107,1023,105779,104756,1023
202107,3,105782,105779,3
202107,63,105845,105782,63
202107,670,106515,105845,670
202107,1,106516,106515,1
202107,1564,108080,106516,1564
202107,102,108182,108080,102
202107,5,108187,108182,5
202107,257,108444,108187,257
202107,5205,113649,108444,5205
202107,437,114086,113649,437
202107,128,114214,114086,128
202107,77,114291,114214,77
202107,316,114607,114291,316
202107,137,114744,114607,137
202107,212,114956,114744,212
202107,1,114957,114956,1
202107,7,114964,114957,7
202107,1,114965,114964,1
202107,86,115051,114965,86
202107,204,115255,115051,204
202107,1,115256,115255,1
202108,443,115699,115256,443
202108,130,115829,115699,130
202108,1,115830,115829,1
202108,2,115832,115830,2
202108,1853,117685,115832,1853
202108,144,117829,117685,144
202108,1614,119443,117829,1614
202108,350,119793,119443,350
202108,561,120354,119793,561
202108,4,120358,120354,4
202108,247,120605,120358,247
202108,13,120618,120605,13
202108,4143,124761,120618,4143
202108,148,124909,124761,148
202108,1,124910,124909,1
202108,260,125170,124910,260
202108,81,125251,125170,81
202108,1697,126948,125251,1697
202108,6,126954,126948,6
202108,2,126956,126954,2
202108,20,126976,126956,20
202108,1,126977,126976,1
202108,2,126979,126977,2
202108,930,127909,126979,930
202108,7,127916,127909,7
202108,458,128374,127916,458
202108,476,128850,128374,476
202108,46,128896,128850,46
202108,107,129003,128896,107
202108,1628,130631,129003,1628
202108,151,130782,130631,151
