city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
Rio Branco,1200401,2020-03-17,202012,413418,407319,False,False,3,0.72566,2020-03-17,0.0,0,1,city,AC,3,0
Rio Branco,1200401,2020-03-18,202012,413418,407319,False,False,3,0.72566,2020-03-18,0.0,0,2,city,AC,0,0
Rio Branco,1200401,2020-03-19,202012,413418,407319,False,False,4,0.96754,2020-03-19,0.0,0,3,city,AC,1,0
Rio Branco,1200401,2020-03-20,202012,413418,407319,False,False,7,1.6932,2020-03-20,0.0,0,4,city,AC,3,0
Rio Branco,1200401,2020-03-21,202012,413418,407319,False,False,11,2.66075,2020-03-21,0.0,0,5,city,AC,4,0
Rio Branco,1200401,2020-03-22,202013,413418,407319,False,False,11,2.66075,2020-03-22,0.0,0,6,city,AC,0,0
Rio Branco,1200401,2020-03-23,202013,413418,407319,False,False,17,4.11206,2020-03-23,0.0,0,7,city,AC,6,0
Rio Branco,1200401,2020-03-24,202013,413418,407319,False,False,21,5.0796,2020-03-24,0.0,0,8,city,AC,4,0
Rio Branco,1200401,2020-03-25,202013,413418,407319,False,False,23,5.56338,2020-03-25,0.0,0,9,city,AC,2,0
Rio Branco,1200401,2020-03-26,202013,413418,407319,False,False,23,5.56338,2020-03-26,0.0,0,10,city,AC,0,0
Rio Branco,1200401,2020-03-27,202013,413418,407319,False,False,25,6.04715,2020-03-27,0.0,0,11,city,AC,2,0
Rio Branco,1200401,2020-03-28,202013,413418,407319,False,False,25,6.04715,2020-03-28,0.0,0,12,city,AC,0,0
Acrelândia,1200013,2020-03-29,202014,15490,15256,False,False,2,12.91156,2020-03-29,0.0,0,1,city,AC,2,0
Porto Acre,1200807,2020-03-29,202014,18824,18504,False,False,1,5.31237,2020-03-29,0.0,0,1,city,AC,1,0
Rio Branco,1200401,2020-03-29,202014,413418,407319,False,False,31,7.49846,2020-03-29,0.0,0,13,city,AC,6,0
Acrelândia,1200013,2020-03-30,202014,15490,15256,False,False,6,38.73467,2020-03-30,0.0,0,2,city,AC,4,0
Porto Acre,1200807,2020-03-30,202014,18824,18504,False,False,1,5.31237,2020-03-30,0.0,0,2,city,AC,0,0
Rio Branco,1200401,2020-03-30,202014,413418,407319,False,False,34,8.22412,2020-03-30,0.0,0,14,city,AC,3,0
Acrelândia,1200013,2020-03-31,202014,15490,15256,False,False,7,45.19045,2020-03-31,0.0,0,3,city,AC,1,0
Porto Acre,1200807,2020-03-31,202014,18824,18504,False,False,1,5.31237,2020-03-31,0.0,0,3,city,AC,0,0
Rio Branco,1200401,2020-03-31,202014,413418,407319,False,False,34,8.22412,2020-03-31,0.0,0,15,city,AC,0,0
Acrelândia,1200013,2020-04-01,202014,15490,15256,False,False,8,51.64622,2020-04-01,0.0,0,4,city,AC,1,0
Porto Acre,1200807,2020-04-01,202014,18824,18504,False,False,1,5.31237,2020-04-01,0.0,0,4,city,AC,0,0
Rio Branco,1200401,2020-04-01,202014,413418,407319,False,False,34,8.22412,2020-04-01,0.0,0,16,city,AC,0,0
Acrelândia,1200013,2020-04-02,202014,15490,15256,False,False,8,51.64622,2020-04-02,0.0,0,5,city,AC,0,0
Porto Acre,1200807,2020-04-02,202014,18824,18504,False,False,1,5.31237,2020-04-02,0.0,0,5,city,AC,0,0
Rio Branco,1200401,2020-04-02,202014,413418,407319,False,False,36,8.70789,2020-04-02,0.0,0,17,city,AC,2,0
Acrelândia,1200013,2020-04-03,202014,15490,15256,False,False,9,58.102,2020-04-03,0.0,0,6,city,AC,1,0
Porto Acre,1200807,2020-04-03,202014,18824,18504,False,False,1,5.31237,2020-04-03,0.0,0,6,city,AC,0,0
Rio Branco,1200401,2020-04-03,202014,413418,407319,False,False,36,8.70789,2020-04-03,0.0,0,18,city,AC,0,0
Acrelândia,1200013,2020-04-04,202014,15490,15256,False,False,9,58.102,2020-04-04,0.0,0,7,city,AC,0,0
Porto Acre,1200807,2020-04-04,202014,18824,18504,False,False,1,5.31237,2020-04-04,0.0,0,7,city,AC,0,0
Rio Branco,1200401,2020-04-04,202014,413418,407319,False,False,36,8.70789,2020-04-04,0.0,0,19,city,AC,0,0
Acrelândia,1200013,2020-04-05,202015,15490,15256,False,False,9,58.102,2020-04-05,0.0,0,8,city,AC,0,0
Porto Acre,1200807,2020-04-05,202015,18824,18504,False,False,1,5.31237,2020-04-05,0.0,0,8,city,AC,0,0
